,0,1
439,-0.10914494,-0.13919482
440,27.152924,21.57246
441,0.88217735,0.9079229
442,0.2523413,-0.07026808
443,-0.080457695,-0.16217051
444,-0.20205693,-0.16998738
445,-0.105148554,-0.13028505
446,11.640518,11.49465
447,0.21685642,0.3679846
448,-0.62994266,-0.3553454
449,2.7581174,3.6012888
450,-0.07979172,-0.1417531
451,-0.44947198,-0.30948034
452,31.75735,23.999245
453,-0.15943007,0.28911874
454,1.0645943,1.8073044
455,2.0709453,1.5053352
456,0.23904197,0.116745874
457,19.76339,27.658281
458,-0.24653919,-0.02129848
459,-0.10958435,-0.103846215
460,5.671406,6.3593545
461,-0.2542763,-0.05718906
462,1.2329427,1.9066751
463,0.081607796,0.11190225
464,1.7976121,1.7954634
465,-0.3773092,-0.041697334
466,-0.051443264,-0.16397059
467,1.0149868,1.8387794
468,-0.3857396,-0.24801403
469,-0.2082259,-0.1505865
470,4.9179807,5.5719714
471,1.036988,0.8403221
472,27.416601,27.618341
473,-0.007367057,0.010115995
474,3.2570424,5.494979
475,0.011492011,-0.044301294
476,-0.3023976,-0.20555148
477,-0.19258824,-0.19263159
478,-0.18108185,-0.008148458
479,0.13973227,0.10601356
480,-0.18264805,-0.24226521
481,-0.06915931,-0.069273666
482,-0.08187242,-0.11461064
483,0.633529,-0.11760459
484,39.061356,32.551445
485,-0.3010628,-0.17839262
486,-0.10636026,0.14208362
487,-0.1701788,-0.18312705
488,0.680184,1.3189707
489,-0.018985853,-0.2143103
490,-0.14821537,-0.1555104
491,-0.07584011,-0.14718153
492,-0.31383836,-0.1684071
493,-0.3501355,-0.32930225
494,0.0915398,-0.05602481
495,-0.041737475,-0.36039525
496,0.09409861,0.4337593
497,15.402807,16.587816
498,-0.25541666,0.15291013
499,-0.049613215,-0.13777973
500,-0.41753784,-0.30960914
501,31.929588,26.355469
502,-1.8918542,-0.11141368
503,-0.059627816,-0.0599179
504,-0.2620352,-0.1485727
505,-0.2525253,-0.20480254
506,-0.64677423,-0.29215002
507,-0.16185634,-0.15297924
508,10.545537,13.873974
509,10.487156,11.913064
510,-0.029275551,-0.066323966
511,2.441451,4.261852
512,-0.022303954,-0.14867438
513,30.60135,35.125782
514,-0.19025652,-0.21188404
515,-0.054718014,-0.22808544
516,-0.19701636,-0.19458011
517,0.8475035,0.98645127
518,-0.43437257,-0.15104714
519,-0.95639783,-0.37704054
520,-0.15552147,-0.08625933
521,0.18929453,0.008551409
522,-0.14806515,-0.15126158
523,1.5166695,1.8081535
524,-0.24577616,-0.2027031
525,-0.43870667,-0.15087694
526,0.7338163,1.0459783
527,0.53410727,1.012119
528,0.5650051,0.5253196
529,-0.48417297,-0.19922748
530,-0.21893467,0.11717047
531,1.3532085,1.9855745
532,0.7629784,0.8853765
533,0.695304,0.8210825
534,-0.04790234,0.4148123
535,8.927355,8.012292
536,-0.32298005,-0.15844512
537,0.30892888,0.4619119
538,3.102931,4.7366986
539,-0.21119577,0.37198296
540,-0.42499503,-0.1987704
541,-0.35991034,-0.061023634
542,1.5643146,2.0772297
543,2.4238222,4.50344
544,4.7200384,5.4970827
545,-0.29037294,-0.36082876
546,-0.1296751,0.008300932
547,0.3315524,0.6415357
548,1.8099686,2.3125172
549,1.6032702,1.6252842
550,-0.34280318,-0.16433024
551,0.5605522,1.116014
552,-0.24358003,0.18312146
553,-0.20975837,-0.21949324
554,2.289087,6.078699
555,0.072165504,0.49844792
556,-0.44112116,-0.23305038
557,-0.15258354,-0.105098955
558,-0.06184286,0.21980236
559,-0.26049754,-0.14553986
560,-0.3631362,-0.53376645
561,1.933075,3.3333764
562,8.7169895,9.038924
563,-0.3246458,-0.30509773
564,-0.11263984,-0.117469005
565,5.1852202,6.2664423
566,0.027630089,-0.040566266
567,-0.23833,-0.09448082
568,0.2362168,0.16051005
569,0.64033824,0.9140771
570,-0.04146327,0.14659826
571,0.912819,2.169861
572,-0.24024087,-0.32139048
573,7.5773005,8.884615
574,-0.1713295,-0.21505067
575,-0.2134199,0.16048436
576,1.4821887,2.0152085
577,0.7342984,0.9493786
578,-0.19877987,-0.14061561
579,-0.12491961,0.25765896
580,0.5556511,0.9065493
581,-0.2657599,-0.12969525
582,38.436966,32.968426
583,0.0889585,0.0132230455
584,-0.3045941,-0.34702793
585,-0.22048783,-0.09533608
586,-0.0060490216,0.10200486
587,0.7516512,1.1466985
588,-0.077876925,-0.090624474
589,0.6863721,1.0802287
590,-0.44190398,-0.33789873
591,-0.21844691,-0.20653804
592,-0.06626402,-0.13800095
593,-0.33422187,-0.20030002
594,0.14139338,-0.15277122
595,19.433468,19.736597
596,-0.42082757,-0.18892689
597,-0.3965194,-0.35832113
598,19.85537,20.802431
599,24.562836,24.949646
600,0.4414413,0.55281705
601,3.912886,5.6728516
602,-0.24708991,-0.2809931
603,1.6217037,2.2047708
604,-0.0116321165,-0.1557384
605,-0.46934742,-0.26874116
606,-0.16854233,0.040669855
607,13.634501,13.367529
608,0.011837218,-0.24729401
609,20.879356,18.758913
610,-0.2859245,-0.25309423
611,0.023624782,0.03890332
612,22.428179,22.985516
613,26.739462,20.048716
614,11.490344,15.805019
615,0.13131437,-0.111042246
616,-0.17839922,-0.24555601
617,0.13949001,-0.051753502
618,-0.22256944,-0.24335203
619,0.6454523,0.7895317
620,2.2077348,2.8307295
621,-0.45556137,-0.31432933
622,-0.051741373,-0.0028788159
623,-0.17483278,-0.13742399
624,11.451149,14.262307
625,0.1385054,0.44526482
626,-0.33624655,-0.2830515
627,0.07190682,0.14681734
628,-0.12720458,-0.13251151
629,-0.1425254,-0.1319888
630,4.867748,5.5330515
631,1.6673322,2.563102
632,-0.064628966,-0.12344476
633,0.052330043,0.2550211
634,21.24417,25.19656
635,0.09046832,0.017136475
636,-0.22979829,-0.31823382
637,-0.4606339,-0.29033816
638,0.5566056,0.88259196
639,-0.31990796,-0.19151373
640,-0.51286983,-0.29058865
641,1.1872468,2.2636435
642,-0.31752735,-0.20243551
643,3.4371226,4.4975624
644,0.1761841,0.16625746
645,0.030788342,-0.02388995
646,0.55724746,-0.24200118
647,-1.2756414,-0.41708788
648,-0.22268414,-0.15385233
649,0.5578915,0.735296
650,-0.26972184,-0.1783762
651,-0.13848798,-0.06886013
652,1.3098094,2.2883358
653,25.168983,28.270645
654,-0.08048606,-0.31770077
